case_id,layout_name,site,n_turbines,installed_capacity_mw,hub_height_m,rotor_diameter_m,rated_power_mw,min_nearest_spacing_m,mean_nearest_spacing_m,min_nearest_spacing_D,mean_nearest_spacing_D,min_easting_m,max_easting_m,min_northing_m,max_northing_m,centroid_easting_m,centroid_northing_m
fid_7,layout_fid7_10t_candidate_v2,fid_7,10,42.00000000000001,112.0,136.0,4.2,504.9138540384884,618.4667276391252,3.712601867930062,4.547549467934744,447112.0,449268.0,5934626.0,5936847.0,448270.5,5935670.1
