turbine_id,change_type,easting_m_baseline,northing_m_baseline,easting_m_refined,northing_m_refined,delta_easting_m,delta_northing_m,movement_distance_m,rated_power_mw_baseline,rated_power_mw_refined,rotor_diameter_m_baseline,rotor_diameter_m_refined,case_id,comparison_id
T08,moved,448424,5927290,447825.0,5935427.0,-599.0,8137.0,8159.017710484516,4.2,4.2,136,136.0,fid_8,baseline_vs_fid_8
T09,moved,447943,5927771,447112.0,5935079.0,-831.0,7308.0,7355.0951727357005,4.2,4.2,136,136.0,fid_8,baseline_vs_fid_8
T10,moved,448232,5926136,447335.0,5934626.0,-897.0,8490.0,8537.25418386966,4.2,4.2,136,136.0,fid_8,baseline_vs_fid_8
T11,removed,447751,5926617,,,,,0.0,4.2,,136,,fid_8,baseline_vs_fid_8
T12,removed,447270,5927098,,,,,0.0,4.2,,136,,fid_8,baseline_vs_fid_8
T01,moved,450251,5928155,449133.0,5936508.0,-1118.0,8353.0,8427.486754661795,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T02,moved,449770,5928636,449268.0,5935742.0,-502.0,7106.0,7123.709707729534,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T03,moved,449289,5929117,448097.0,5936847.0,-1192.0,7730.0,7821.3658653715975,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T04,moved,449578,5927482,448712.0,5935877.0,-866.0,8395.0,8439.54862537091,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T05,moved,449097,5927963,449177.0,5935230.0,80.0,7267.0,7267.440333432398,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T06,moved,448616,5928444,447630.0,5936095.0,-986.0,7651.0,7714.272292316366,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T07,moved,448905,5926809,448416.0,5935270.0,-489.0,8461.0,8475.118996214744,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T08,moved,448424,5927290,447825.0,5935427.0,-599.0,8137.0,8159.017710484516,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T09,moved,447943,5927771,447112.0,5935079.0,-831.0,7308.0,7355.0951727357005,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T10,moved,448232,5926136,447335.0,5934626.0,-897.0,8490.0,8537.25418386966,4.2,4.2,136,136.0,fid_94,baseline_vs_fid_94
T11,removed,447751,5926617,,,,,0.0,4.2,,136,,fid_94,baseline_vs_fid_94
T12,removed,447270,5927098,,,,,0.0,4.2,,136,,fid_94,baseline_vs_fid_94
